Gene,sample1,sample2,sampleN
AHCYL2,1,0,1
AHDC1,1,0,0
AHI1,0,0,0
AHNAK,28,26,15
AHNAK2,46,25,12
AHR,144,104,83
AHRR,0,0,0
AHSA1,36,50,34
AHSG,0,0,0
AHSP,0,0,0
AICDA,0,0,0
AIDA,1,1,2
AIF1,76,184,22
AIF1L,1,2,0
AIFM1,4,9,3
AIFM2,8,6,5
AIFM3,0,0,0
AIG1,0,0,0
AIM2,0,0,0
AIMP1,13,12,9
AIMP2,3,2,2
AIP,18,20,14
AIPL1,0,0,0
AIRE,0,0,0
AJAP1,0,0,0
AJM1,0,0,3
AJUBA,13,8,11
AK1,14,4,6
AK2,6,5,5
AK3,8,7,7
AK4,1,1,1
AK5,0,0,0
AK6,5,2,3
AK7,0,0,0
AK8,0,0,0
AK9,0,0,0
AKAIN1,0,0,0
AKAP1,3,2,1
AKAP10,2,2,1
AKAP11,1,2,1
AKAP12,8,8,9
AKAP13,8,8,7
AKAP14,0,0,0
AKAP3,0,0,0
AKAP4,0,0,0
AKAP5,7,3,8
AKAP6,0,0,0
AKAP7,0,0,0
AKAP8,34,33,27
AKAP8L,9,8,9
AKAP9,18,17,20
AKIP1,7,9,3
AKIRIN1,40,51,25
AKIRIN2,15,12,8
AKNA,1,1,0
AKNAD1,0,0,0
AKR1A1,17,16,10
AKR1B1,9,15,8
AKR1B10,40,3,20
AKR1B15,0,0,0
AKR1C1,213,16,102
AKR1C2,13,1,4
AKR1C3,87,24,31
AKR1C4,2,4,2
AKR1D1,0,0,0
AKR1E2,0,0,0
AKR7A2,26,27,14
AKR7A3,19,28,26
AKT1,4,5,3
AKT1S1,22,20,13
AKT2,2,2,2
AKT3,0,0,0
AKTIP,1,0,0
ALAD,6,5,6
ALAS1,13,10,7
ALAS2,0,0,0
ALB,1,1,28
ALCAM,3,7,2
ALDH16A1,4,6,3
ALDH18A1,1,2,1
ALDH1A1,70,71,48
ALDH1A2,0,0,0
ALDH1A3,1,2,3
ALDH1B1,16,22,24
ALDH1L1,0,0,0
ALDH1L2,0,1,1
ALDH2,22,27,11
ALDH3A1,60,8,16
ALDH3A2,14,4,10
ALDH3B1,6,9,4
ALDH3B2,0,0,0
ALDH4A1,1,1,1
ALDH5A1,5,2,3
ALDH6A1,7,6,8
ALDH7A1,3,3,3
ALDH8A1,0,0,0
ALDH9A1,12,11,13
ALDOA,463,361,277
ALDOB,50,19,52
ALDOC,13,5,12
ALG1,5,4,4
ALG10,2,0,2
ALG10B,3,0,4
ALG11,4,5,3
ALG12,2,2,4
ALG13,0,0,0
ALG14,1,1,1
ALG1L,0,0,0
ALG1L2,0,0,0
ALG2,81,56,69
ALG3,22,18,15
ALG5,4,2,5
ALG6,2,4,3
ALG8,3,2,2
ALG9,0,0,0
ALK,0,0,0
ALKAL1,10,5,3
ALKAL2,0,2,41
ALKBH1,3,2,2
ALKBH2,3,2,4
ALKBH3,4,7,6
ALKBH4,10,2,2
ALKBH5,26,39,27
ALKBH6,14,22,8
ALKBH7,202,195,180
ALKBH8,0,0,0
ALLC,0,0,0
ALMS1,1,1,0
ALOX12,0,0,0
ALOX12B,0,0,0
ALOX15,0,0,0
ALOX15B,2,3,0
ALOX5,1,2,1
ALOX5AP,7,12,3
ALOXE3,0,0,0
ALPG,0,0,0
ALPI,0,0,0
ALPK1,1,0,1
ALPK2,0,1,0
ALPK3,10,19,5
ALPL,0,0,0
ALPP,0,0,0
ALS2,1,1,0
ALS2CL,6,6,5
ALX1,0,0,0
ALX3,0,0,0
ALX4,0,0,0
ALYREF,122,131,89
AMACR,1,1,1
AMBN,0,0,0
AMBP,2,0,96
AMBRA1,0,0,0
AMD1,5,6,4
AMDHD1,0,0,0
AMDHD2,3,9,3
AMELX,0,0,0
AMER1,1,2,3
AMER2,0,0,1
AMER3,0,0,0
AMFR,4,3,3
AMH,4,10,21
AMHR2,0,0,0
AMIGO1,8,2,3
AMIGO2,39,29,16
AMMECR1,1,1,1
AMMECR1L,2,2,2
AMN,78,18,29
AMN1,1,0,0
AMOT,0,0,0
AMOTL1,0,0,0
AMOTL2,7,9,12
AMPD1,0,0,0
AMPD2,10,13,8
AMPD3,1,2,1
AMPH,0,0,0
AMT,0,0,0
AMTN,0,1,1
AMY1A,0,0,3
AMY1B,0,0,0
AMY2A,0,0,6
AMY2B,8,8,821
AMZ1,0,0,0
AMZ2,1,1,1
ANAPC1,0,0,0
ANAPC10,0,0,0
ANAPC11,16,20,12
ANAPC13,35,42,22
ANAPC15,1,1,1
ANAPC16,8,7,10
ANAPC2,5,7,4
ANAPC4,2,2,3
ANAPC5,8,11,8
ANAPC7,3,5,2
ANG,10,9,7
ANGEL1,0,2,3
ANGEL2,1,1,1
ANGPT1,0,1,0
ANGPT2,1,1,0
ANGPT4,0,0,0
ANGPTL1,0,4,4
ANGPTL2,3,7,3
ANGPTL3,0,1,0
ANGPTL4,4,11,5
ANGPTL5,0,0,0
ANGPTL6,0,0,0
ANGPTL7,0,0,0
ANGPTL8,0,0,4
ANHX,0,0,0
ANK1,0,0,0
ANK2,0,0,0
ANK3,0,0,0
ANKAR,0,0,0
ANKDD1A,1,3,2
ANKDD1B,0,0,0
ANKEF1,0,0,1
ANKFN1,0,0,0
ANKFY1,0,1,0
ANKH,2,2,1
ANKHD1,1,1,0
ANKHD1-EIF4EBP3,0,0,0
ANKIB1,7,7,4
ANKK1,0,0,0
ANKLE1,0,0,0
ANKLE2,8,9,4
ANKMY1,0,0,0
ANKMY2,7,3,6
ANKRA2,4,12,9
ANKRD1,68,183,11
ANKRD10,13,16,10
ANKRD11,1,1,1
ANKRD12,2,2,2
ANKRD13A,1,1,1
ANKRD13B,0,1,0
ANKRD13C,1,0,0
ANKRD13D,9,14,7
ANKRD16,1,3,1
ANKRD17,1,0,0
ANKRD18A,2,1,2
ANKRD18B,0,1,0
ANKRD2,0,0,0
ANKRD22,9,6,6
ANKRD23,8,3,10
ANKRD24,0,0,0
ANKRD26,0,1,0
ANKRD27,1,5,3
ANKRD28,0,0,0
ANKRD29,0,0,0
ANKRD30A,0,0,0
