Gene,sample1,sample2,sampleN
MKS1,0,0,1
MKX,0,0,0
MLANA,0,0,0
MLC1,0,0,0
MLEC,31,37,33
MLF1,0,0,0
MLF2,95,88,66
MLH1,0,0,0
MLH3,1,0,1
MLIP,0,0,0
MLKL,2,1,1
MLLT1,2,2,2
MLLT10,0,1,0
MLLT11,6,15,2
MLLT3,1,1,1
MLLT6,23,43,28
MLN,0,0,0
MLNR,0,0,0
MLPH,2,1,1
MLST8,6,5,6
MLX,44,37,34
MLXIP,3,3,3
MLXIPL,1,1,2
MLYCD,10,12,15
MMAA,2,2,2
MMAB,5,7,6
MMACHC,1,1,2
MMADHC,81,79,58
MMD,7,12,2
MMD2,0,0,0
MME,1,0,0
MMEL1,1,1,1
MMGT1,13,16,9
MMP1,77,882,67
MMP10,6,15,6
MMP11,53,101,12
MMP12,14,10,2
MMP13,1,0,0
MMP14,564,697,250
MMP15,38,31,32
MMP16,0,1,0
MMP17,0,0,0
MMP19,54,102,17
MMP2,7,31,7
MMP20,0,0,0
MMP21,2,0,0
MMP23B,0,0,0
MMP24,0,0,1
MMP24OS,113,156,154
MMP25,0,1,0
MMP26,0,0,0
MMP27,0,0,0
MMP28,0,0,0
MMP3,12,20,4
MMP7,2163,1147,985
MMP8,0,0,0
MMP9,13,90,3
MMRN1,0,0,0
MMRN2,3,6,2
MMS19,0,1,0
MMS22L,0,0,0
MMUT,13,16,10
MN1,4,2,1
MNAT1,0,0,0
MND1,0,0,0
MNDA,16,78,10
MNS1,41,9,30
MNT,10,13,6
MNX1,10,13,42
MOAP1,85,109,78
MOB1A,19,24,11
MOB1B,2,3,2
MOB2,3,4,2
MOB3A,5,6,4
MOB3B,1,1,0
MOB3C,23,24,17
MOB4,7,8,5
MOBP,0,0,0
MOCOS,4,3,1
MOCS1,0,0,0
MOCS2,21,33,23
MOCS3,23,2,11
MOG,0,0,0
MOGAT1,13,4,4
MOGAT2,0,0,0
MOGAT3,0,0,0
MOGS,108,103,97
MOK,0,0,0
MON1A,2,2,1
MON1B,24,26,21
MON2,0,1,1
MORC1,0,0,0
MORC2,1,2,1
MORC3,3,2,2
MORC4,4,5,3
MORF4L1,12,24,12
MORF4L2,20,15,14
MORN1,0,0,1
MORN2,38,44,33
MORN3,1,1,1
MORN4,1,1,2
MORN5,0,0,0
MOS,0,0,0
MOSMO,1,2,1
MOSPD1,3,2,2
MOSPD2,2,1,1
MOSPD3,11,11,9
MOV10,3,2,2
MOV10L1,0,0,0
MOXD1,1,5,0
MPC1,4,4,3
MPC1L,0,0,0
MPC2,46,19,30
MPDU1,50,62,40
MPDZ,0,0,0
MPEG1,108,311,35
MPG,41,46,28
MPHOSPH10,84,84,53
MPHOSPH6,17,20,10
MPHOSPH8,10,13,9
MPHOSPH9,0,0,0
MPI,5,3,5
MPIG6B,0,0,0
MPL,0,0,0
MPLKIP,49,78,48
MPND,6,4,4
MPO,0,0,0
MPP1,1,3,1
MPP2,0,0,0
MPP3,1,0,1
MPP4,0,0,0
MPP7,0,0,0
MPPE1,0,0,0
MPPED1,0,0,0
MPPED2,0,0,0
MPRIP,1,2,1
MPST,17,9,14
MPV17,14,13,12
MPV17L,2,1,7
MPV17L2,50,46,22
MPZ,2,3,1
MPZL1,12,9,9
MPZL2,110,68,81
MPZL3,4,4,3
MR1,1,3,1
MRAP,0,1,0
MRAP2,0,0,0
MRAS,1,0,0
MRC1,25,76,2
MRE11,1,1,0
MREG,0,0,0
MRFAP1,636,832,498
MRFAP1L1,505,414,412
MRGBP,23,36,27
MRGPRD,0,0,0
MRGPRF,1,9,3
MRGPRG,0,0,0
MRGPRX1,0,0,0
MRGPRX3,0,0,0
MRGPRX4,0,0,0
MRI1,4,5,4
MRLN,0,7,1
MRM1,0,1,0
MRM2,52,94,42
MRM3,4,0,3
MRNIP,2,1,5
MRO,0,0,0
MROH1,0,0,0
MROH2A,0,0,0
MROH2B,0,0,0
MROH6,2,3,1
MROH7,0,0,0
MROH8,0,0,0
MRPL1,3,3,2
MRPL10,11,7,10
MRPL11,27,30,23
MRPL12,80,63,63
MRPL13,26,27,14
MRPL14,24,16,13
MRPL15,40,40,26
MRPL16,61,70,74
MRPL17,326,435,254
MRPL18,12,10,9
MRPL19,45,29,29
MRPL2,4,3,6
MRPL20,212,222,213
MRPL21,16,13,17
MRPL22,11,9,7
MRPL23,0,0,0
MRPL24,59,36,43
MRPL27,96,51,55
MRPL28,27,51,20
MRPL3,41,30,24
MRPL30,8,11,5
MRPL32,90,62,70
MRPL33,125,142,106
MRPL34,24,30,15
MRPL35,17,16,14
MRPL36,32,40,10
MRPL37,10,13,9
MRPL38,0,0,1
MRPL39,4,6,3
MRPL4,24,25,14
MRPL40,86,79,71
MRPL41,1501,1711,1369
MRPL42,2,5,2
MRPL43,11,13,11
MRPL44,23,25,17
MRPL45,5,5,5
MRPL46,69,53,40
MRPL47,25,14,14
MRPL48,0,0,0
MRPL49,32,44,32
MRPL50,60,54,52
MRPL51,1332,1242,845
MRPL52,24,14,16
MRPL53,6,13,2
MRPL54,86,26,74
MRPL55,8,11,6
MRPL57,454,270,303
MRPL58,8,4,12
MRPL9,72,65,53
MRPS10,13,4,8
MRPS11,3,6,4
MRPS12,51,56,32
MRPS14,26,23,23
MRPS15,73,84,53
MRPS16,131,183,117
MRPS17,74,43,30
MRPS18A,14,11,8
MRPS18B,10,4,10
MRPS18C,46,42,33
MRPS2,17,8,14
MRPS21,95,49,74
MRPS22,10,11,9
MRPS23,33,46,22
MRPS24,0,0,0
MRPS25,9,7,8
MRPS26,50,126,103
MRPS27,2,2,1
MRPS28,3,3,2
MRPS30,193,170,91
MRPS31,11,7,8
MRPS33,36,20,36
MRPS34,254,537,247
MRPS35,13,13,7
MRPS36,34,38,31
MRPS5,6,4,2
MRPS6,7,9,5
MRPS7,210,237,131
MRPS9,2,2,2
MRRF,0,0,0
MRS2,2,2,2
MRTFA,2,1,1
MRTFB,0,0,0
MRTO4,34,19,28
MS4A1,0,0,0
MS4A10,0,0,0
MS4A14,0,0,0
MS4A15,0,0,0
MS4A18,0,0,0
MS4A2,0,3,1
MS4A3,0,0,0
MS4A4A,12,26,2
MS4A4E,0,0,0
MS4A6A,6,19,4
MS4A7,28,79,10
MS4A8,36,11,16
MSANTD1,0,0,0
MSANTD2,1,2,1
MSANTD3,5,6,3
MSANTD4,3,2,2
MSC,16,86,18
MSH2,0,0,0
MSH3,2,2,2
MSH4,0,0,0
MSH5,0,0,0
MSH6,6,8,8
MSI1,0,0,0
MSI2,1,1,0
MSL1,21,26,18
MSL2,3,4,3
MSL3,5,4,3
MSLN,79,61,23
MSLNL,0,0,0
MSMB,97,432,9
MSMO1,70,31,43
MSMP,0,0,3
MSN,18,17,9
MSR1,5,15,1
MSRA,0,0,0
MSRB1,16,13,20
MSRB2,14,7,10
MSRB3,0,1,0
MSS51,1,0,0
MST1,1,1,2
MST1R,4,2,2
MSTN,0,0,5
MSTO1,2,1,1
MSX1,37,68,21
MSX2,24,15,9
MT1A,116,248,107
MT1B,0,0,0
MT1E,290,513,744
MT1F,193,225,607
MT1G,103,254,1941
MT1H,0,193,223
MT1HL1,0,0,0
MT1M,146,623,125
MT1X,257,833,999
MT2A,5397,14301,4113
MT3,0,0,21
MTA1,1,1,1
MTA2,46,30,22
MTA3,0,0,0
MTAP,0,1,0
MTBP,0,0,0
MTCH1,27,30,24
MTCH2,3,5,2
MTCL1,0,0,0
MTCP1,6,0,1
MTDH,7,6,5
MTERF1,3,2,2
MTERF2,2,2,3
MTERF3,3,4,2
MTERF4,2,2,2
MTF1,3,3,1
MTF2,3,5,3
MTFMT,4,3,1
MTFP1,19,4,16
MTFR1,0,0,0
MTFR1L,8,10,12
MTFR2,1,0,0
MTG1,2,2,1
MTG2,1,1,1
MTHFD1,3,5,3
MTHFD1L,0,0,0
MTHFD2,11,20,8
MTHFD2L,0,0,0
MTHFR,4,2,2
MTHFS,3,4,2
MTHFSD,0,0,0
MTIF2,1,1,1
MTIF3,3,2,2
MTLN,279,480,335
MTM1,0,0,0
MTMR1,0,1,0
MTMR10,1,1,1
MTMR11,24,13,13
MTMR12,4,2,3
MTMR14,0,0,0
MTMR2,1,1,0
MTMR3,1,2,2
MTMR4,2,1,2
MTMR6,1,3,1
MTMR7,0,0,0
MTMR8,0,0,0
MTMR9,2,3,2
MTNR1A,0,0,0
MTNR1B,0,0,0
MTO1,2,2,1
MTOR,1,0,1
MTPAP,11,24,10
MTPN,85,112,50
MTR,0,1,1
MTREX,13,10,8
MTRF1,0,0,0
MTRF1L,1,3,0
MTRNR2L1,23,72,33
MTRNR2L10,4,52,3
MTRNR2L11,0,12,7
MTRNR2L12,48,35,27
MTRNR2L13,0,19,0
MTRNR2L3,68,89,80
MTRNR2L4,0,7,1
MTRNR2L5,0,5,2
MTRNR2L6,6,27,0
MTRNR2L7,0,6,0
MTRNR2L8,35,91,15
MTRR,0,0,0
MTSS1,0,0,0
MTTP,0,0,0
MTURN,8,8,5
MTUS1,2,1,2
MTUS2,0,0,0
MTX1,0,0,0
MTX2,1,2,1
MTX3,3,3,5
MUC1,219,99,129
MUC12,2,0,0
MUC13,78,146,24
MUC15,0,0,11
MUC16,0,0,0
MUC17,0,1,0
MUC19,0,0,0
MUC2,1,10,8
MUC20,2,1,2
MUC21,1,0,0
MUC22,0,0,0
MUC3A,197,195,66
MUC4,0,0,0
MUC5AC,51,73,8
MUC5B,185,87,173
MUC6,316,132,219
MUC7,0,0,0
MUCL1,0,0,0
MUCL3,1310,215,349
MUL1,50,29,31
MUS81,12,8,8
MUSK,0,0,0
MUTYH,0,0,0
MVB12A,12,16,17
MVB12B,0,0,0
MVD,15,10,7
MVK,2,2,2
MVP,30,20,15
MX1,1,1,1
MX2,2,2,1
MXD1,22,24,6
MXD3,9,2,3
MXD4,91,108,62
MXI1,2,3,2
MXRA5,39,54,9
MXRA7,1,1,1
MXRA8,11,37,5
MYADM,97,89,50
MYADML2,0,0,0
MYB,0,0,0
MYBBP1A,5,5,3
MYBL1,0,1,0
MYBL2,1,0,1
MYBPC1,0,0,0
MYBPC2,0,0,0
MYBPC3,0,0,0
MYBPH,0,0,0
MYBPHL,0,0,0
MYC,72,48,79
MYCBP,19,12,14
MYCBP2,0,0,0
MYCBPAP,0,0,0
MYCL,0,0,6
MYCN,0,0,0
MYCT1,0,0,0
MYD88,23,24,19
MYDGF,213,181,163
MYEF2,1,2,1
MYEOV,18,21,13
MYF6,0,0,0
MYH1,0,0,0
MYH10,0,1,0
MYH11,1,3,0
MYH13,0,0,0
MYH14,7,4,3
MYH15,0,0,0
MYH2,0,0,0
MYH3,0,0,0
MYH4,0,0,0
MYH6,0,0,0
MYH7,0,0,0
MYH7B,0,0,0
MYH8,0,0,0
MYH9,75,88,46
MYL1,0,0,0
MYL10,0,2,0
MYL12A,241,222,129
MYL12B,194,165,102
MYL2,0,0,0
MYL3,0,1,0
MYL4,0,0,0
MYL5,2,1,1
MYL6,1392,2040,857
MYL6B,12,37,16
MYL7,0,0,0
MYL9,118,264,47
MYLIP,1,2,1
MYLK,0,1,0
MYLK2,0,0,3
MYLK3,0,0,0
MYLK4,0,0,0
MYMK,0,0,0
MYMX,0,0,2
MYNN,2,3,3
MYO10,3,3,2
MYO15A,0,0,0
MYO15B,0,0,0
MYO16,0,0,0
MYO18A,0,0,0
MYO18B,0,0,0
MYO19,0,0,0
MYO1A,0,0,0
MYO1B,1,0,0
MYO1C,7,8,6
MYO1D,2,1,1
MYO1E,5,5,2
MYO1F,1,2,1
MYO1G,2,3,2
MYO1H,0,0,0
MYO3A,0,0,0
MYO3B,0,0,0
MYO5A,0,0,0
MYO5B,2,2,1
MYO5C,6,4,5
MYO6,3,2,2
MYO7A,0,0,0
MYO7B,0,0,0
MYO9A,0,0,0
MYO9B,1,1,0
MYOC,0,0,0
MYOCD,0,0,0
MYOCOS,0,0,0
MYOD1,0,0,0
MYOF,1,1,0
MYOG,0,0,0
MYOM1,1,0,0
MYOM2,0,0,0
MYOM3,2,1,0
MYORG,7,7,10
MYOT,0,0,0
MYOZ1,0,0,0
MYOZ2,0,0,0
MYOZ3,0,0,0
MYPN,0,0,0
MYPOP,7,7,6
MYRF,5,4,3
MYRFL,0,0,1
MYRIP,0,0,0
MYSM1,2,2,2
MYT1,0,0,0
MYT1L,0,0,0
MYZAP,1,3,2
MZB1,4,0,3
MZF1,4,3,5
MZT1,9,18,8
MZT2A,10,15,8
MZT2B,19,16,22
N4BP2,0,1,0
N4BP2L1,0,0,0
N4BP2L2,1,1,1
N4BP3,0,0,0
N6AMT1,1,0,0
NAA10,24,15,21
NAA11,0,0,0
NAA15,8,9,6
NAA16,1,1,1
NAA20,19,50,20
NAA25,1,2,1
NAA30,6,12,14
NAA35,1,1,1
NAA38,18,22,27
NAA40,4,5,5
NAA50,23,15,11
NAA60,2,3,2
NAA80,13,6,9
NAAA,0,1,1
NAALAD2,0,0,0
NAALADL1,0,1,0
NAALADL2,0,0,0
NAB1,0,0,0
NAB2,42,96,25
NABP1,10,25,8
NABP2,8,13,7
NACA,43,44,40
NACA2,0,0,6
NACAD,1,3,1
NACC1,18,16,7
NACC2,6,5,5
NADK,1,1,0
NADK2,1,1,1
NADSYN1,19,6,10
NAE1,5,5,4
NAF1,1,1,1
NAGA,12,14,9
NAGK,15,21,9
NAGLU,22,38,19
NAGPA,6,22,5
NAGS,1,1,0
NAIF1,17,31,5
NAIP,0,0,0
NALCN,0,0,0
NAMPT,34,37,30
NANOG,0,0,0
NANOGNB,3,0,0
NANOGP8,0,0,0
NANOS1,5,7,8
NANOS2,0,0,0
NANOS3,0,0,0
NANP,18,7,14
NANS,24,16,11
NAP1L1,14,28,12
NAP1L2,2,0,32
NAP1L3,2,14,3
NAP1L4,3,2,1
NAP1L5,41,80,47
NAPA,0,0,0
NAPB,1,2,1
NAPEPLD,0,0,0
NAPG,16,12,10
NAPRT,81,68,28
NAPSA,0,0,1
NARF,2,3,2
NARS2,0,0,0
NASP,3,4,3
NAT1,0,0,0
NAT10,14,9,9
NAT14,17,11,62
NAT16,0,0,0
NAT2,0,0,0
NAT8,0,0,2
NAT8L,0,6,6
NAT9,3,2,2
NATD1,14,17,10
NAV1,0,0,0
NAV2,0,0,0
NAV3,0,0,0
NAXD,4,3,3
NAXE,262,120,203
NBAS,0,0,0
NBDY,15,7,6
NBEA,0,0,0
NBEAL1,0,0,0
NBEAL2,3,2,2
NBL1,19,18,11
NBN,3,2,3
NBPF1,1,2,0
NBPF10,0,0,0
NBPF11,0,0,0
NBPF12,0,1,0
NBPF14,1,1,1
NBPF15,0,0,0
NBPF19,0,0,0
NBPF20,0,0,0
NBPF26,0,0,0
NBPF3,0,0,0
NBPF9,0,0,0
NBR1,7,4,5
NCALD,0,0,0
NCAM1,0,0,0
NCAM2,0,0,0
NCAN,0,0,0
NCAPD2,6,12,4
NCAPD3,1,1,0
NCAPG,0,0,0
NCAPG2,0,0,0
NCAPH,0,0,0
NCAPH2,3,3,2
NCBP1,2,2,3
NCBP2,52,39,28
NCBP2L,0,0,0
NCBP3,5,4,5
NCCRP1,0,2,0
NCDN,12,10,12
NCEH1,3,6,2
NCF1,0,0,0
NCF2,1,2,0
NCF4,2,6,1
NCK1,1,1,1
NCK2,1,1,1
NCKAP1,4,3,2
NCKAP1L,7,14,3
NCKAP5,0,0,0
NCKAP5L,1,0,0
NCKIPSD,8,13,10
NCL,1280,898,811
NCLN,23,18,15
NCMAP,4,1,3
NCOA1,0,0,0
NCOA2,0,0,0
NCOA3,2,3,2
NCOA4,18,21,12
NCOA5,4,3,2
NCOA6,0,0,0
NCOA7,1,1,1
NCOR1,0,0,0
NCOR2,5,6,3
NCR1,0,0,0
NCR2,0,0,0
NCR3,0,0,0
NCR3LG1,1,1,0
NCS1,2,6,2
NCSTN,29,16,16
NDC1,1,1,1
NDC80,2,8,1
NDE1,0,0,0
NDEL1,2,2,1
NDFIP1,78,70,68
NDFIP2,5,4,4
NDN,36,121,45
NDNF,1,0,0
NDOR1,1,0,1
NDP,1,3,0
NDRG1,11,12,7
NDRG2,4,4,6
NDRG3,0,1,0
NDRG4,0,0,0
NDST1,2,5,2
NDST2,0,2,0
NDST3,0,0,0
NDST4,0,0,0
NDUFA1,504,581,382
NDUFA10,1,1,1
NDUFA11,28,24,23
NDUFA12,10,14,17
NDUFA13,133,153,100
NDUFA2,138,191,134
NDUFA3,17,16,10
NDUFA4,535,703,450
NDUFA4L2,8,36,4
NDUFA5,7,5,4
NDUFA6,59,96,54
NDUFA7,3,8,2
NDUFA8,20,13,10
NDUFA9,15,20,12
NDUFAB1,62,83,47
NDUFAF1,0,1,1
NDUFAF2,3,4,3
NDUFAF3,103,108,100
NDUFAF4,59,61,39
NDUFAF5,0,0,0
NDUFAF6,0,0,0
NDUFAF7,1,1,0
NDUFAF8,118,170,138
NDUFB1,145,246,126
NDUFB10,170,256,148
NDUFB11,67,107,96
NDUFB2,296,285,195
NDUFB3,22,32,13
NDUFB4,241,268,155
NDUFB5,19,18,14
NDUFB6,16,16,14
NDUFB7,95,171,64
NDUFB8,54,85,53
NDUFB9,26,40,18
NDUFC1,24,25,24
NDUFC2,75,82,50
NDUFS1,4,5,4
NDUFS2,9,9,6
NDUFS3,86,108,90
NDUFS4,2,1,1
NDUFS5,91,91,65
NDUFS6,110,125,82
NDUFS7,19,14,9
NDUFS8,63,105,94
NDUFV1,87,70,82
NDUFV2,1,2,0
NDUFV3,5,8,8
NEB,0,0,0
NEBL,0,0,0
NECAB1,0,0,0
NECAB2,0,0,0
NECAB3,2,2,1
NECAP1,17,11,16
NECAP2,6,8,4
NECTIN1,2,2,1
NECTIN2,21,19,15
NECTIN3,1,1,1
NECTIN4,15,6,7
NEDD1,1,1,1
NEDD4,0,0,0
NEDD4L,0,0,0
NEDD8,36,34,31
NEDD9,15,6,8
NEFH,0,3,0
NEFL,0,38,0
NEFM,0,20,0
NEGR1,0,0,0
NEIL1,8,4,6
NEIL2,1,1,1
NEIL3,0,0,0
NEK1,0,0,0
NEK10,0,0,0
NEK11,0,0,0
NEK2,1,0,0
NEK3,5,5,2
NEK4,1,0,1
NEK5,0,0,0
NEK6,1,1,0
NEK7,0,0,0
NEK9,1,3,2
NELFA,14,8,11
NELFB,46,31,36
NELFCD,28,22,22
NELFE,17,10,9
NELL1,0,0,0
NELL2,0,0,0
NEMF,8,8,5
NEMP1,1,1,0
NEMP2,0,0,0
NENF,29,60,33
NEO1,0,0,0
NEPRO,3,2,2
NES,66,139,21
NET1,74,55,32
NETO1,0,0,0
NETO2,0,0,0
NEU1,14,28,20
NEU3,1,0,0
NEU4,0,1,0
NEURL1,0,5,2
NEURL1B,2,2,1
NEURL2,1,9,4
NEURL3,3,3,11
NEURL4,0,0,0
NEUROD1,0,50,15
NEUROD2,2,0,2
NEUROD4,0,0,0
NEUROD6,0,0,0
NEUROG1,0,0,0
NEUROG2,0,0,0
NEUROG3,0,0,0
NEXMIF,0,0,0
NEXN,2,9,3
NF1,1,1,1
NF2,0,1,0
NFAM1,0,2,0
NFASC,0,0,0
NFAT5,0,0,0
NFATC1,1,1,0
NFATC2,1,1,0
NFATC2IP,24,16,13
NFATC3,0,1,1
NFATC4,1,3,1
NFE2,0,2,0
NFE2L1,9,13,7
NFE2L2,17,14,7
NFE2L3,1,9,3
NFE4,0,0,0
NFIA,1,2,2
NFIB,0,0,0
NFIC,6,8,7
NFIL3,3,3,3
NFIX,2,2,2
NFKB1,2,1,1
NFKB2,9,18,8
NFKBIA,2366,2724,1574
NFKBIB,4,2,2
NFKBIE,69,61,17
NFKBIL1,1,0,1
NFKBIZ,48,70,53
NFRKB,1,4,3
NFS1,3,3,3
NFU1,2,1,1
NFX1,3,2,2
NFXL1,1,2,1
NFYA,8,5,5
NFYB,2,4,2
NFYC,0,0,0
NGB,0,0,0
NGDN,22,20,22
NGEF,0,0,0
NGF,0,0,0
NGFR,3,22,2
NGLY1,1,1,0
NGRN,17,21,14
NHEJ1,0,0,0
NHLH1,0,0,1
NHLH2,0,3,0
NHLRC1,26,32,12
NHLRC2,5,7,6
NHLRC3,23,19,17
NHLRC4,1,0,2
NHP2,62,38,46
NHS,1,0,0
NHSL1,0,0,0
NHSL2,0,0,0
NID1,4,16,3
NID2,0,1,0
NIF3L1,1,3,2
NIFK,117,95,71
NIM1K,0,0,0
NIN,0,0,0
NINJ1,24,27,18
NINJ2,1,1,0
NINL,0,0,0
NIP7,94,68,61
NIPA1,5,2,3
NIPA2,1,1,0
NIPAL1,2,4,3
NIPAL2,0,0,0
NIPAL3,0,0,0
NIPAL4,0,0,0
NIPBL,2,2,1
NIPSNAP1,10,5,8
NIPSNAP2,20,16,16
NIPSNAP3A,31,29,15
NIPSNAP3B,0,1,0
NISCH,5,9,4
NIT1,15,6,16
NIT2,24,31,20
NKAIN1,0,0,0
NKAIN2,0,0,0
NKAIN3,0,0,0
NKAIN4,0,0,0
NKAP,24,20,25
NKAPD1,10,12,8
NKAPL,20,0,10
NKD1,4,9,2
NKD2,0,1,0
NKG7,15,28,24
NKIRAS1,0,0,0
NKIRAS2,19,14,12
NKPD1,1,0,0
NKRF,2,3,1
NKTR,7,9,6
NKX1-1,0,0,0
NKX1-2,0,0,0
NKX2-1,0,0,0
NKX2-2,0,9,3
NKX2-3,0,11,4
NKX2-4,0,0,0
NKX2-5,0,0,0
NKX2-6,0,0,0
NKX2-8,0,0,0
NKX3-1,8,4,4
NKX3-2,0,1,0
NKX6-1,12,21,24
NKX6-2,277,64,91
NKX6-3,0,0,0
NLE1,1,4,2
NLGN1,0,0,0
NLGN2,2,4,2
NLGN3,0,0,0
NLGN4X,0,0,0
NLGN4Y,0,0,0
NLK,1,1,1
NLN,1,1,1
NLRC3,0,0,0
NLRC4,0,1,0
NLRC5,0,0,0
NLRP1,1,2,0
NLRP10,0,0,0
NLRP11,0,0,0
NLRP12,0,0,0
NLRP13,0,0,0
NLRP14,0,0,0
NLRP2,0,0,0
NLRP2B,0,0,0
NLRP3,0,1,0
NLRP4,0,0,0
NLRP5,0,0,0
NLRP6,0,0,0
NLRP7,0,0,0
NLRP8,0,0,0
NLRP9,0,0,0
NLRX1,0,0,0
NMB,17,11,19
NMD3,5,5,4
NME1,43,42,40
NME2,0,0,0
NME3,134,202,145
NME4,37,30,19
NME5,0,0,1
NME6,1,1,0
NME7,1,1,1
NME8,0,0,0
NME9,0,0,0
NMI,19,13,10
NMNAT1,0,0,0
NMNAT2,0,0,0
NMNAT3,0,0,0
NMRAL1,3,2,2
NMRK1,2,2,2
NMRK2,0,0,0
NMT1,27,29,22
NMT2,1,1,1
NMU,1,0,0
NMUR1,0,3,0
NMUR2,7,5,0
NNAT,0,2,0
NNMT,35,26,25
NNT,1,1,1
NOA1,28,32,28
NOB1,27,16,18
NOBOX,0,0,0
NOC2L,45,40,25
NOC3L,3,4,3
NOC4L,7,6,5
NOCT,2,0,1
NOD1,0,0,0
NOD2,0,0,0
NODAL,0,0,0
NOG,0,9,4
NOL10,1,1,0
NOL11,8,6,11
NOL12,10,3,13
NOL4,0,0,0
NOL4L,2,3,1
NOL6,9,9,9
NOL7,99,63,61
NOL8,3,2,2
NOL9,5,5,5
NOLC1,23,25,17
NOM1,6,12,7
NOMO1,5,1,5
NOMO2,0,0,0
NOMO3,0,0,0
NONO,49,55,36
NOP10,889,1178,429
NOP14,8,10,6
NOP16,36,29,17
NOP2,4,4,4
NOP53,208,188,294
NOP56,61,57,54
NOP58,79,68,47
NOP9,3,2,1
NOS1,0,0,0
NOS1AP,0,0,0
NOS2,0,0,0
NOS3,0,1,1
NOSIP,3,2,3
NOSTRIN,2,1,2
NOTCH1,5,6,6
NOTCH2,3,5,4
NOTCH2NLA,0,0,0
NOTCH3,12,23,7
NOTCH4,0,1,0
NOTO,0,0,0
NOTUM,0,4,0
NOVA1,0,0,0
NOVA2,0,1,0
NOX1,0,2,0
NOX3,0,0,0
NOX4,0,0,0
NOX5,0,0,0
NOXA1,7,4,10
NOXO1,0,2,0
NOXRED1,0,0,0
NPAP1,2,0,0
NPAS1,0,0,0
NPAS2,1,0,0
NPAS3,0,0,0
NPAS4,0,1,0
NPAT,2,2,2
NPB,25,81,0
NPBWR1,0,0,0
NPBWR2,0,0,0
NPC1,2,3,1
NPC1L1,5,3,2
NPC2,82,156,49
NPDC1,537,627,414
NPEPL1,6,7,6
NPEPPS,5,5,4
NPFFR1,0,0,1
NPFFR2,0,0,0
NPHP1,0,0,0
NPHP3,7,2,9
NPHP4,0,0,0
NPHS1,0,0,2
NPHS2,0,0,0
NPIPA1,5,6,2
NPIPA2,0,0,0
NPIPA5,0,0,0
NPIPB13,0,0,0
NPIPB15,0,0,0
NPIPB2,0,0,0
NPIPB4,0,0,0
NPIPB5,0,0,0
NPIPB6,0,0,0
NPL,2,5,0
NPLOC4,2,2,1
NPM1,16,12,12
NPM2,1,3,1
NPM3,264,192,154
NPNT,0,0,1
NPPA,6,0,3
NPPB,0,0,0
NPPC,0,0,0
NPR1,1,1,1
NPR2,2,1,2
NPR3,0,1,0
NPRL2,10,21,13
NPRL3,1,2,1
NPSR1,0,0,0
NPTN,3,5,2
NPTX1,11,31,0
NPTX2,0,10,1
NPTXR,7,4,7
NPVF,0,0,0
NPW,2,149,0
NPY,0,0,0
NPY1R,17,5,9
NPY2R,0,0,0
NPY5R,0,0,0
NQO1,120,35,37
NQO2,7,6,5
NR0B1,0,47,2
NR0B2,118,91,74
NR1D1,52,23,33
NR1D2,13,14,13
NR1H2,29,57,25
NR1H3,1,1,0
NR1H4,0,0,0
NR1I2,1,0,0
NR1I3,0,0,0
NR2C1,1,0,1
NR2C2,0,0,0
NR2C2AP,70,29,22
NR2E1,0,0,0
NR2E3,9,0,8
NR2F1,19,87,23
NR2F2,61,121,70
NR2F6,88,63,81
NR3C1,0,1,0
NR3C2,0,0,0
NR4A1,37,46,24
NR4A2,16,23,5
NR4A3,7,9,1
NR5A1,0,0,0
NR5A2,0,0,1
NR6A1,0,0,0
NRAP,0,0,0
NRARP,106,106,48
NRAS,57,51,29
NRBF2,10,13,7
NRBP1,12,13,8
NRBP2,6,4,5
NRCAM,0,0,0
NRDC,7,6,5
NRDE2,2,3,2
NREP,1,1,0
NRF1,0,0,0
NRG1,0,0,0
NRG2,0,0,0
NRG3,0,0,0
NRG4,0,0,0
NRGN,10,16,3
NRIP1,0,1,0
NRIP2,3,7,1
NRIP3,1,1,0
NRK,0,0,0
NRL,0,0,0
NRM,0,0,0
NRN1,1,3,0
NRN1L,0,0,1
NRP1,0,1,1
NRP2,1,1,0
NRROS,3,4,1
NRSN1,0,0,0
NRSN2,0,1,0
NRTN,2,1,7
NRXN1,0,0,0
NRXN2,0,0,0
NRXN3,0,0,0
NSA2,26,23,25
NSD1,1,2,1
NSD2,1,0,0
NSD3,9,6,7
NSDHL,2,1,1
NSF,0,0,0
NSFL1C,1,1,1
NSG1,0,0,0
NSG2,0,0,1
NSL1,0,1,1
NSMAF,1,3,2
NSMCE1,4,6,3
NSMCE2,0,0,0
NSMCE3,21,16,16
NSMCE4A,2,2,4
NSMF,9,14,8
NSRP1,7,6,5
NSUN2,13,14,10
NSUN3,1,0,1
NSUN4,1,1,1
NSUN5,10,13,10
NSUN6,0,0,0
NSUN7,0,0,0
NT5C,111,106,86
NT5C1A,0,0,0
NT5C1B,0,0,0
NT5C2,0,0,0
NT5C3A,3,1,2
NT5C3B,9,8,7
NT5DC1,3,2,2
NT5DC2,8,8,3
NT5DC3,0,0,0
NT5DC4,0,0,0
NT5E,5,6,2
NT5M,0,0,0
NTAN1,1,1,1
NTF3,0,0,0
NTF4,0,0,0
NTHL1,2,5,4
NTM,0,0,0
NTMT1,3,3,1
NTN1,0,0,0
